epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.4995,0.7496,0.3552,0.8462,0.000100
2,0.3734,0.8371,0.4327,0.8811,0.000100
3,0.3245,0.8687,0.3473,0.8881,0.000100
4,0.2707,0.8914,0.3363,0.8322,0.000100
5,0.2372,0.9019,0.3463,0.8182,0.000100
6,0.2326,0.9037,0.3777,0.9161,0.000100
7,0.2547,0.8914,0.2128,0.9091,0.000100
8,0.1899,0.9282,0.2978,0.8462,0.000100
9,0.1555,0.9352,0.3431,0.8112,0.000100
10,0.1440,0.9440,0.3125,0.8462,0.000100
11,0.1329,0.9457,0.3687,0.8531,0.000050
12,0.1187,0.9562,0.2806,0.8881,0.000050
13,0.0843,0.9825,0.3130,0.8951,0.000050
14,0.1057,0.9615,0.3687,0.8112,0.000050
