epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1880,0.4364,0.9744,0.5639,0.000100
2,0.9300,0.5598,1.0142,0.5338,0.000100
3,0.8254,0.6528,0.9656,0.5865,0.000100
4,0.7860,0.7002,0.8589,0.6617,0.000100
5,0.7876,0.6793,1.1043,0.5188,0.000100
6,0.6423,0.7438,0.7820,0.6767,0.000100
7,0.5710,0.7970,0.9163,0.6165,0.000100
8,0.6082,0.7590,0.8126,0.6767,0.000100
9,0.4545,0.8197,1.0411,0.6015,0.000100
10,0.5334,0.8008,0.8463,0.6316,0.000050
11,0.3647,0.8748,0.8305,0.7218,0.000050
12,0.3803,0.8520,0.8718,0.6391,0.000050
13,0.3169,0.8861,0.8336,0.6842,0.000050
